new_upper_mass,new_lower_mass,new_upper_gear,new_lower_gear,new_upper_joint_range_min,new_upper_joint_range_max,new_lower_joint_range_min,new_lower_joint_range_max,random_num_upper_legs,random_num_lower_legs,fitness_score
3.7188608158842316,9.303852971104867,244.01324916913592,266.33359368585377,-30,0,-20,0,3,3,0.9615355226305322
4.543005732586633,4.871704085432398,249.49045798457615,265.94248096404755,-20,0,-30,0,3,2,0.8690325634573591
2.857004978132769,5.067792375133964,275.04390894609367,218.65857899639929,-20,0,-20,0,2,2,0.8329620479800595
3.213194656469316,5.921660959226861,117.57844754715128,266.39845831103685,-15,0,-30,0,2,2,0.7294744955505631
1.738992320401929,6.402327541417236,192.83984867814954,228.2350225439528,-20,0,-20,0,3,2,2.329418193536073
3.2946430888312324,3.2839836374321414,292.6240795482015,181.5549594396639,-25,0,-20,0,4,4,2.381972304124189
2.572695333221653,8.045076438519562,252.31658834989605,126.94310690600793,-20,0,-25,0,2,2,1.4399900662990603
1.9449826819027094,5.371733791328017,119.05027685317214,189.0533558977014,-25,0,-20,0,3,2,2.5763434481489216
4.440583840201455,9.069792744821202,255.3359672916271,122.93801057188568,-30,0,-15,0,1,4,2.374340899530995
4.240471784936583,6.385503655083427,296.818681921193,220.59969921462152,-30,0,-20,0,3,3,1.0533688272714368
1.8739723855905797,7.787519833548546,169.60843518767996,104.1618697890294,-15,0,-15,0,1,1,1.1204864571441704
3.5235686762869314,1.849535856624705,133.70103834454378,102.69204688223112,-15,0,-25,0,3,2,0.8028745273806053
1.9801076172873397,7.942558351451247,246.52213901393674,146.2770651956565,-15,0,-20,0,4,4,1.378421866047775
1.6212120046337586,4.79163913135287,254.54733907030175,275.51125387822594,-25,0,-30,0,3,2,0.6874167425871971
1.6235714380780495,9.444979423634212,260.7366962848894,130.81415475761136,-25,0,-20,0,2,1,1.246490664986478
3.160136733109742,6.286862124771894,236.3019389110665,173.07434076212024,-25,0,-25,0,2,3,1.609144888556205
3.7112343802231305,3.9873443193097042,248.15271269946726,147.6674379842192,-15,0,-20,0,3,3,1.2206899112673943
2.0977865511244658,3.29265269613391,216.0813487860426,119.61908591335728,-30,0,-15,0,1,3,1.7465978974163945
4.979715866355033,1.9681622114403314,231.22082697230647,197.5639286839097,-20,0,-20,0,1,0,1.3027913394436308
3.943289707225972,1.1015499401139077,198.1222427506728,173.86913981335573,-25,0,-20,0,1,2,1.9889833719869867
2.535144756620318,6.373716034793268,126.59771051296653,203.47079402588307,-20,0,-20,0,3,3,0.8481946793430761
1.9029181319808202,5.479294192112852,220.6034752709323,269.35869289235933,-25,0,-25,0,1,1,1.1459937708812848
3.542581623033964,7.504182321627254,236.84526576543857,287.0090428994142,-20,0,-30,0,2,2,1.6201638578291704
4.60422162221804,2.3633072583019317,295.0375710184869,217.47527448833597,-30,0,-15,0,3,2,1.4428359807178064
1.9142934084249714,1.3541435874608942,289.69780702186927,175.28800418493122,-25,0,-15,0,4,3,1.6074582436817058
1.6438048564103913,9.210005607067114,210.17186971833013,168.9957496565084,-20,0,-20,0,4,4,1.2031632121777576
2.0478301610200313,1.2586073122883243,113.95265594418133,129.31657337227617,-25,0,-25,0,1,0,1.3003801474298537
4.064974126131775,7.3105008561575175,213.86048445420795,299.9577040580043,-30,0,-20,0,4,3,1.0744543550650438
2.895047612705318,5.38620978281762,269.2954906755741,125.76429586796641,-15,0,-30,0,4,4,1.113787194410872
3.0871430973071132,4.618532225320013,179.90441548878286,119.29903168547442,-30,0,-30,0,1,1,1.1131243530688353
2.0432278864612456,7.866166839371987,285.9120544793835,179.92354338547813,-30,0,-25,0,3,3,0.47972048156070096
4.058354769687213,6.892282093094816,211.87643393501165,272.41139587623604,-25,0,-20,0,1,1,1.103046213812963
3.463680352700075,2.5613684498765625,270.2344772181934,284.6635987770122,-20,0,-15,0,2,1,1.1833323708587027
2.996501488064562,1.418855868775287,265.6666300852615,240.82141206872558,-20,0,-20,0,4,3,1.0061209358207972
3.198532759620715,6.514989237734511,209.37011228225623,297.3375973561955,-30,0,-20,0,4,3,0.9788745623662463
4.044605816031977,1.5149184665667876,275.27177323315567,225.08630731483552,-15,0,-20,0,2,3,2.5776461657387215
1.0864285720639173,2.7143243248146334,192.74091508536998,155.42674488443467,-30,0,-15,0,1,0,1.3046123175178352
3.350867877477362,3.785622617534541,243.36110689384688,277.47232539278286,-30,0,-15,0,3,4,1.0414869123921076
