new_upper_mass,new_lower_mass,new_upper_gear,new_lower_gear,new_upper_joint_range_min,new_upper_joint_range_max,new_lower_joint_range_min,new_lower_joint_range_max,random_num_upper_legs,random_num_lower_legs,fitness_score
1.0493701997786484,3.368688995151195,239.62399854391475,125.73500495169465,-25,0,-15,0,2,1,1.35257486482678
5.728473821475523,2.8494107525027164,274.9822242653868,203.1820042906036,-15,0,-25,0,1,4,2.5421254451579722
3.5922026934585087,5.2821699232989445,219.95161463624223,266.34417882178434,-25,0,-25,0,1,5,3.110751552350894
7.198143965202598,5.041360889848833,226.1966165604644,192.44883210265942,-25,0,-15,0,2,4,2.5673830206212074
5.2295850873596015,5.054711272890562,249.58948131588915,146.53923125216647,-15,0,-15,0,1,1,1.128046297363217
9.398039083842347,7.828458615076241,127.02231537726784,208.90050426048217,-15,0,-20,0,3,2,1.41067347522998
6.752454028489293,3.3702505553056046,282.26903576046993,118.44726488796404,-30,0,-30,0,3,4,3.8142136833843767
7.07537835211957,1.4602145563960782,255.80253300563507,263.74461453679544,-30,0,-30,0,3,3,0.7540710808933626
4.511797427778819,3.577138623569991,286.2959371812431,289.4212246336066,-20,0,-25,0,1,3,1.8334884930981006
8.469610825051719,3.344887646058665,158.72840809967687,139.55187514717468,-25,0,-25,0,1,3,2.32276141988671
4.709936181040289,5.6017027311951555,108.73993509894393,276.99177582004074,-15,0,-30,0,1,4,3.2736464334004647
6.763185522946042,1.935836255475588,288.07173266002746,117.44650765608971,-20,0,-15,0,1,4,1.78992202694303
5.699477975829591,5.771192532384271,253.85581248092763,283.0394269464248,-30,0,-15,0,1,0,1.3006342046963282
1.1129453448641338,7.667041063579025,154.70827243279803,168.15067437049782,-20,0,-20,0,1,5,2.907972817706086
7.660326344978031,1.1032508812616288,109.68525456352174,216.39525532326923,-20,0,-15,0,3,5,1.4502175119045069
6.278975761829818,7.070707054588347,281.40517379819926,245.2000218836213,-30,0,-15,0,3,2,2.2210494168494317
4.975180741772224,1.478132024725893,185.348904964823,116.58359718531297,-15,0,-30,0,3,3,1.0933768128841896
8.520786458669303,6.8125936633469495,268.39022749272107,254.70608356013756,-30,0,-25,0,1,0,1.3014876043534236
